ts,ts_kyiv,bedroom_temp,bedroom_hum,bedroom_lux,kitchen_temp,kitchen_hum,printernya_temp,printernya_hum,soil_temp,out_temp,out_hum,out_wind,out_cloud,nas_sda_temp,nas_sdb_temp,nas_nvme_temp,server_cpu_load,pc_power,pc_temp
2026-03-16 08:00:00+00:00,2026-03-16 10:00:00+02:00,23.75084543600223,28.133015247153885,,,,,,,5.7,69,13.8,99,,,,,,
2026-03-16 09:00:00+00:00,2026-03-16 11:00:00+02:00,24.797228389352775,28.307500839352773,,,,,,,7.3,62,15.1,59,,,,,,
2026-03-16 10:00:00+00:00,2026-03-16 12:00:00+02:00,23.03691653145278,27.54653601695,,,,,,,8.3,57,17.6,92,,,,,,
2026-03-16 11:00:00+00:00,2026-03-16 13:00:00+02:00,23.588672076869443,26.783215931238885,,,,,,,8.0,60,17.0,100,,,,,,
2026-03-16 12:00:00+00:00,2026-03-16 14:00:00+02:00,24.664110664613887,27.831592413508336,,,,,,,9.1,54,16.7,100,,,,,,
2026-03-16 13:00:00+00:00,2026-03-16 15:00:00+02:00,24.741413906152776,28.36321783371945,,,,,,,9.2,51,16.3,100,,,,,,
2026-03-16 14:00:00+00:00,2026-03-16 16:00:00+02:00,24.487312676172223,29.403072284619444,,,,,,,8.6,56,14.2,100,,,,,,
2026-03-16 15:00:00+00:00,2026-03-16 17:00:00+02:00,24.553469621633337,31.45371962581945,,,,,,,7.5,62,12.8,100,,,,,,
2026-03-16 16:00:00+00:00,2026-03-16 18:00:00+02:00,24.566718848225,31.74965943133056,,,,,,,6.4,67,11.3,100,,,,,,
2026-03-16 17:00:00+00:00,2026-03-16 19:00:00+02:00,24.40922066245556,32.094125869002774,,,,,,,5.5,71,11.0,100,,,,,,
2026-03-16 18:00:00+00:00,2026-03-16 20:00:00+02:00,24.355717181175,34.98125925436111,,,,,,,5.3,77,10.5,100,,,,,,
2026-03-16 19:00:00+00:00,2026-03-16 21:00:00+02:00,24.28201461077777,37.28380270045,,,,,,,4.5,80,10.8,100,,,,,,
2026-03-16 20:00:00+00:00,2026-03-16 22:00:00+02:00,24.233823102147223,36.71790466864167,,,,,,,3.7,83,10.7,100,,,,,,
2026-03-16 21:00:00+00:00,2026-03-16 23:00:00+02:00,24.32409066234722,37.5147263625,,,,,,,2.8,88,10.1,100,,,,,,
