room,room_ua,n_hours_temp,too_cold_pct,temp_ok_pct,too_hot_pct,n_hours_hum,too_dry_pct,hum_ok_pct,too_humid_pct,month
Bedroom,житлова кімната,4154,0.5,42.3,57.1,4154,3.8,95.8,0.4,усе
Kitchen,кухня,2656,0.0,22.0,78.0,2656,3.2,96.8,0.0,усе
Printernya,кладова,3795,0.0,17.4,82.6,3795,0.0,99.9,0.1,усе
Bedroom,житлова кімната,342,0.0,94.2,5.8,342,4.4,95.6,0.0,2026-03
Bedroom,житлова кімната,720,1.9,90.1,7.9,720,0.6,98.6,0.8,2026-04
Kitchen,кухня,632,0.0,75.6,24.4,632,0.8,99.2,0.0,2026-04
Printernya,кладова,629,0.0,76.8,23.2,629,0.0,99.8,0.2,2026-04
Bedroom,житлова кімната,727,0.6,45.1,54.3,727,3.2,96.7,0.1,2026-05
Kitchen,кухня,715,0.0,14.0,86.0,715,3.8,96.2,0.0,2026-05
Printernya,кладова,744,0.0,23.9,76.1,744,0.0,99.6,0.4,2026-05
Bedroom,житлова кімната,693,0.3,20.3,79.4,693,1.7,98.3,0.0,2026-06
Kitchen,кухня,572,0.0,1.0,99.0,572,1.6,98.4,0.0,2026-06
Printernya,кладова,691,0.0,0.0,100.0,691,0.0,100.0,0.0,2026-06
Bedroom,житлова кімната,718,0.0,14.2,85.8,718,1.7,97.2,1.1,2026-07
Kitchen,кухня,358,0.0,0.0,100.0,358,0.0,100.0,0.0,2026-07
Printernya,кладова,723,0.0,0.0,100.0,723,0.0,100.0,0.0,2026-07
Bedroom,житлова кімната,600,0.3,19.0,80.7,600,9.0,91.0,0.0,2026-08
Kitchen,кухня,22,0.0,0.0,100.0,22,36.4,63.6,0.0,2026-08
Printernya,кладова,742,0.0,0.0,100.0,742,0.0,100.0,0.0,2026-08
Bedroom,житлова кімната,354,0.0,28.8,71.2,354,10.7,89.3,0.0,2026-09
Kitchen,кухня,357,0.0,0.0,100.0,357,10.1,89.9,0.0,2026-09
Printernya,кладова,266,0.0,0.0,100.0,266,0.0,100.0,0.0,2026-09
