hour,Bedroom,Kitchen,Printernya,Outdoor
0,23.973,26.001,27.306,14.909
1,23.699,25.797,27.318,14.294
2,23.417,25.498,27.331,13.744
3,23.23,25.231,27.324,13.153
4,23.054,25.016,27.313,12.663
5,23.086,24.896,27.296,12.29
6,23.597,25.004,27.286,12.441
7,24.254,25.311,27.29,13.419
8,24.849,25.684,27.311,14.958
9,25.211,25.976,27.331,16.829
10,25.281,26.214,27.351,18.258
11,25.238,26.361,27.339,19.436
12,25.178,26.401,27.329,20.283
13,25.042,26.307,27.308,20.759
14,24.914,26.198,27.27,20.861
15,24.84,26.164,27.254,21.119
16,24.802,26.169,27.25,20.822
17,24.741,26.137,27.25,20.498
18,24.7,26.089,27.249,19.861
19,24.505,26.002,27.26,18.973
20,24.353,25.968,27.274,17.913
21,24.196,25.967,27.264,17.036
22,24.107,26.014,27.284,16.295
23,24.058,26.01,27.287,15.563
