month,room,room_ua,n_hours,temp_mean,temp_min,temp_max,temp_std,hum_mean,mould_risk_pct
2026-03,Bedroom,житлова кімната,342,22.67,20.61,24.8,0.82,40.89,0.0
2026-03,Outdoor,надворі,373,6.91,-1.3,18.9,4.46,77.9,
2026-04,Bedroom,житлова кімната,720,21.95,19.42,25.57,1.21,47.56,0.0
2026-04,Kitchen,кухня,632,23.45,21.7,27.14,0.98,43.8,0.0
2026-04,Printernya,кладова,629,23.41,22.43,25.12,0.79,44.5,0.0
2026-04,Outdoor,надворі,720,7.25,-0.9,18.7,4.28,72.77,
2026-05,Bedroom,житлова кімната,727,24.06,19.16,28.97,1.93,41.56,0.0
2026-05,Kitchen,кухня,715,25.56,21.74,29.28,1.43,40.15,0.0
2026-05,Printernya,кладова,744,25.58,22.16,28.39,1.82,45.7,0.0
2026-05,Outdoor,надворі,744,16.92,1.0,31.2,6.32,56.95,
2026-06,Bedroom,житлова кімната,693,25.5,19.81,30.17,1.81,39.96,0.0
2026-06,Kitchen,кухня,572,26.99,23.64,29.69,1.15,38.46,0.0
2026-06,Printernya,кладова,691,28.46,25.23,29.73,1.06,45.16,0.0
2026-06,Outdoor,надворі,720,20.95,7.2,29.9,4.44,56.83,
2026-07,Bedroom,житлова кімната,718,25.63,20.98,29.18,1.39,44.55,0.0
2026-07,Kitchen,кухня,358,27.5,25.12,29.43,0.87,41.51,0.0
2026-07,Printernya,кладова,723,28.77,27.24,30.11,0.64,46.91,0.0
2026-07,Outdoor,надворі,744,20.75,12.4,33.8,4.33,67.34,
2026-08,Bedroom,житлова кімната,600,25.37,19.98,28.38,1.58,38.79,0.0
2026-08,Kitchen,кухня,22,27.85,26.53,28.79,0.6,36.85,0.0
2026-08,Printernya,кладова,742,29.32,27.53,30.17,0.44,42.4,0.0
2026-08,Outdoor,надворі,744,23.06,11.3,36.1,5.33,50.43,
2026-09,Bedroom,житлова кімната,354,24.84,21.04,27.71,1.53,38.54,0.0
2026-09,Kitchen,кухня,357,27.05,24.62,30.36,1.1,36.21,0.0
2026-09,Printernya,кладова,266,28.59,26.46,29.63,0.66,40.78,0.0
2026-09,Outdoor,надворі,357,18.23,8.8,28.9,4.51,62.1,
