event_id,source,start_utc,end_utc,start_kyiv,duration_min,rise_pp,peak_hum,baseline_hum,hour_kyiv,weekday
d001,detailed,2026-09-06 17:14:00+00:00,2026-09-06 18:15:00+00:00,2026-09-06 20:14:00+03:00,61.0,18.08,56.78,38.7,20,6
d002,detailed,2026-09-08 11:19:00+00:00,2026-09-08 14:14:00+00:00,2026-09-08 14:19:00+03:00,175.0,13.44,43.71,30.27,14,1
d003,detailed,2026-09-10 18:36:00+00:00,2026-09-10 18:44:00+00:00,2026-09-10 21:36:00+03:00,8.0,8.03,45.16,37.13,21,3
d004,detailed,2026-09-12 17:52:00+00:00,2026-09-12 18:02:00+00:00,2026-09-12 20:52:00+03:00,10.0,8.16,41.18,33.02,20,5
d005,detailed,2026-09-13 09:50:00+00:00,2026-09-13 09:59:00+00:00,2026-09-13 12:50:00+03:00,9.0,11.43,51.04,39.61,12,6
d006,detailed,2026-09-14 14:15:00+00:00,2026-09-14 15:52:00+00:00,2026-09-14 17:15:00+03:00,97.0,14.9,57.6,42.69,17,0
h001,hourly,2026-04-06 16:00:00+00:00,2026-04-06 18:00:00+00:00,2026-04-06 19:00:00+03:00,120.0,6.84,38.19,28.78,19,0
h002,hourly,2026-04-07 15:00:00+00:00,2026-04-07 17:00:00+00:00,2026-04-07 18:00:00+03:00,120.0,6.98,43.86,35.95,18,1
h003,hourly,2026-04-10 21:00:00+00:00,2026-04-10 22:00:00+00:00,2026-04-11 00:00:00+03:00,60.0,6.63,45.59,38.96,0,5
h004,hourly,2026-04-13 15:00:00+00:00,2026-04-13 16:00:00+00:00,2026-04-13 18:00:00+03:00,60.0,6.65,45.81,39.16,18,0
h005,hourly,2026-04-15 20:00:00+00:00,2026-04-15 21:00:00+00:00,2026-04-15 23:00:00+03:00,60.0,8.04,51.26,43.22,23,2
h006,hourly,2026-04-23 08:00:00+00:00,2026-04-23 09:00:00+00:00,2026-04-23 11:00:00+03:00,60.0,9.49,51.6,42.1,11,3
h007,hourly,2026-04-23 16:00:00+00:00,2026-04-23 17:00:00+00:00,2026-04-23 19:00:00+03:00,60.0,6.92,52.63,45.71,19,3
h008,hourly,2026-04-28 09:00:00+00:00,2026-04-28 10:00:00+00:00,2026-04-28 12:00:00+03:00,60.0,6.25,51.5,45.24,12,1
h009,hourly,2026-04-28 19:00:00+00:00,2026-04-28 20:00:00+00:00,2026-04-28 22:00:00+03:00,60.0,8.68,54.49,45.8,22,1
h010,hourly,2026-05-06 22:00:00+00:00,2026-05-06 23:00:00+00:00,2026-05-07 01:00:00+03:00,60.0,6.64,49.67,43.03,1,3
h011,hourly,2026-05-08 23:00:00+00:00,2026-05-09 00:00:00+00:00,2026-05-09 02:00:00+03:00,60.0,7.03,45.42,38.39,2,5
h012,hourly,2026-05-13 15:00:00+00:00,2026-05-13 16:00:00+00:00,2026-05-13 18:00:00+03:00,60.0,6.4,37.84,31.44,18,2
h013,hourly,2026-05-21 18:00:00+00:00,2026-05-21 19:00:00+00:00,2026-05-21 21:00:00+03:00,60.0,7.34,43.37,36.03,21,3
h014,hourly,2026-05-23 13:00:00+00:00,2026-05-23 15:00:00+00:00,2026-05-23 16:00:00+03:00,120.0,7.82,46.5,36.88,16,5
h015,hourly,2026-05-29 17:00:00+00:00,2026-05-29 19:00:00+00:00,2026-05-29 20:00:00+03:00,120.0,8.37,43.86,32.58,20,4
h016,hourly,2026-06-08 12:00:00+00:00,2026-06-08 15:00:00+00:00,2026-06-08 15:00:00+03:00,180.0,7.65,43.75,30.6,15,0
h017,hourly,2026-06-11 14:00:00+00:00,2026-06-11 16:00:00+00:00,2026-06-11 17:00:00+03:00,120.0,11.27,47.05,33.23,17,3
h018,hourly,2026-06-12 01:00:00+00:00,2026-06-12 03:00:00+00:00,2026-06-12 04:00:00+03:00,120.0,6.98,44.4,34.81,4,4
h019,hourly,2026-06-12 13:00:00+00:00,2026-06-12 14:00:00+00:00,2026-06-12 16:00:00+03:00,60.0,9.11,43.18,34.07,16,4
h020,hourly,2026-06-22 19:00:00+00:00,2026-06-22 21:00:00+00:00,2026-06-22 22:00:00+03:00,120.0,7.56,44.17,33.83,22,0
h021,hourly,2026-06-23 10:00:00+00:00,2026-06-23 11:00:00+00:00,2026-06-23 13:00:00+03:00,60.0,6.68,43.15,36.47,13,1
h022,hourly,2026-07-16 12:00:00+00:00,2026-07-16 13:00:00+00:00,2026-07-16 15:00:00+03:00,60.0,6.02,48.39,42.37,15,3
h023,hourly,2026-07-20 18:00:00+00:00,2026-07-20 19:00:00+00:00,2026-07-20 21:00:00+03:00,60.0,8.65,41.82,33.17,21,0
h024,hourly,2026-07-21 16:00:00+00:00,2026-07-21 18:00:00+00:00,2026-07-21 19:00:00+03:00,120.0,7.76,50.53,41.42,19,1
h025,hourly,2026-09-05 17:00:00+00:00,2026-09-05 19:00:00+00:00,2026-09-05 20:00:00+03:00,120.0,8.53,51.02,41.22,20,5
h026,hourly,2026-09-06 17:00:00+00:00,2026-09-06 18:00:00+00:00,2026-09-06 20:00:00+03:00,60.0,11.94,49.29,37.36,20,6
